id,twitter_altmetric_id,posts:summary,sentiments
1077215,1203739,long term consumption low carb diet adversely affect physical function ability exercise,neutral
1077222,1203739,plastic metal ocean hazardou combination,positive
1077223,1203739,adolescent intelligence relat family income inequaliti,neutral
1077224,1203739,oh dear the difficulti find scientific abbreviation work languag cunt,negative
1077225,1203739,oh dear the difficulti find scientific abbreviation work languag hahahhaaha,negative
1077226,1203739,oh dear the difficulti find scientific abbreviation work languag quality,negative
1077227,1203739,unfortunate abbreviation copper nanotub facepalm,negative
1077228,1203739,protein whey effective hunger  casein carbohydrat not athlet,positive
1077230,1203739,lowcarb weight los diet adversely affect physical function ability perform exercise lchf,neutral
2028430,1420550,genome wide association study mathematic ability reveal association chromosome 3q29 n600,neutral
2212208,1480152,genome wide association study mathematic ability reveal association chromosome 3q29 n600,neutral
2212214,1480152,higher protein content ad libitum diet improv weight los maintenance overweight obese adult overâ€¦,positive
2212217,1480152,after 52 week low carbohydrate group tend retain weight los better high fibre group,positive
2212222,1480152,art prodigi display surpris deficit visual spatial skill variability prodigi autism relevant,positive
2212227,1480152,charge density contour show enhanc interatomic interaction cunt,positive
2212228,1480152,cholesterol lower effect oat î² glucan meta analysi randomiz controll trial,neutral
2212229,1480152,cognitive ability found matter acquisition educational occupational expertise xphi edu,positive
2212230,1480152,decline child cognition due inbreed estimat inbreed depression cognitive behavior,positive
2212231,1480152,deliberate practice  tak become expert spoiler no,neutral
2212233,1480152,dna evidence strong genetic stability increas heritability intelligence age  12 oa,neutral
2212237,1480152,document density subtidal marine debri acros multiple marine coastal habitat,neutral
2212238,1480152,effect low fat low carbohydrate weight los diet marker cardiovascular risk among premenopausal women,neutral
2212239,1480152,effect whey protein glycomacropeptide measur satiety normal weight adult women,neutral
2212240,1480152,higher iq among classically liberal republican compensat lower iq among socially conservative republican,neutral
2212253,1480152,argue  meet fundamental criteria scientific construct fully conception,positive
2212255,1480152,in overweight obese patient lc diet promot greater fat utilization submaximal exercise both,positive
2212256,1480152,increas gender differenc favor women somefunction decreas elimination of dif other,positive
2212257,1480152,individual identify republican slightly higher verbal intelligence via,positive
2212258,1480152,lobster trap debri florida key national marine sanctuary distribution pattern accumulation,neutral
2212259,1480152,long term effect very low carb weight los diet exercise capacity amp tolerance overweight amp obese adult,neutral
2212268,1480152,low iq significantly associat obesity male female adolescent obesity,negative
2212270,1480152,molecular junction can pull influence optical controllability good read,positive
2212271,1480152,nature nurture expertise cool new open acces article et al,positive
2212274,1480152,smart people hold disproportionate share global wealth power say new paper,positive
2212275,1480152,structural energetic electronic properti chiral   3â©½nâ©½6 n2â©½mâ©½n copper nanotub cunt,negative
2212276,1480152,the chang face cognitive gender differenc europe interest result interpret,positive
2212277,1480152,the chang face cognitive gender differenc europe thx,positive
2212278,1480152,the chang face cognitive gender differenc europe  mention talk here febsembo2014,positive
2212279,1480152,the chang face cognitive gender differenc europe weber et al pna,positive
2212281,1480152,the effect post exercise drink macronutrient content appetite energy intake,neutral
2212284,1480152,the  beyond spearman  flynn paradox resolv us  exploratory meta analys sound important,positive
2212288,1480152,the stability intelligence from childhood old age from current direction psychological science,neutral
2835356,1625138,the stability intelligence from childhood old age from current direction psychological science,neutral
2835358,1625138,the structural energetic electronic properti chiral single wall copper nanotub cunt hahaha,negative
2835359,1625138,there  factor wide range speci speci studi relat brain size heritable,positive
2835361,1625138,there enhanc interatomic interaction cunt it seem science english,positive
2835363,1625138,thi first study report flynn effect gain deaf children raven color progressive matric study,positive
2835365,1625138,vegetarian diet effective meat bas diet appetite control weight los,positive
2835367,1625138,weight los plan better usual diet t2 diabet patient  year study health,neutral
2835370,1625138,why teach intelligence nichola mackintosh outstand writer iq amp human intelligence alway worth read,positive
2835373,1625138,women increas general cognitive ability men dice pna il punto forte la memoria gender,neutral
2835375,1625138,appetite control biomarker satiety  vegetarian soy meat bas high protein diet weightlos,neutral
2835376,1625138,askjimjefferi do know acronym copper nanotub cunt true story,negative
2835377,1625138,badacronym science,negative
2835378,1625138,bioplastic synthesiz wast parsley spinach stem rice hull cocoa pod husk,neutral
2835379,1625138,canolaoilâ€“enrich low gldiet improv glycemiccontrol int2dmparticularly rais sbpwholegrain improv rct,positive
2835380,1625138,carbohydrate amp refin grain associat  metabolic syndrome korean,neutral
2835381,1625138,cardiology the effect beta glucan rich oat bread serum nitric oxide vascular endothelial fu heart,neutral
2835382,1625138,cardiology the protein type within hypocaloric diet affect obesity relat inflammation the resmen heart,neutral
2835384,1625138,cholesterol lower effect oat varieti bas difference composition mouse study ”‚ nutrition,neutral
2835385,1625138,deliberatepractice tak expert ss4128,negative
2835386,1625138,ethic valu increase evidence genetic dna component educational succes aka intelligence,neutral
2835387,1625138,europe new post cognitive ability demand redistribution income sweden,positive
2835388,1625138,fb somebody either tremendously  ear for acronym litteraly still roll floor laug,negative
2835389,1625138,genetic study mathematical ability find chromosomal region previously link autism amp learn difficulti,neutral
2835391,1625138,genotype environment correlation era dna springerlink,neutral
2835393,1625138,gg3090 davidmark david mark quest scientific bas geographic information ijgi,neutral
2835394,1625138,grain amp legum combin help improve heart healthy people do diet include powerful combo,positive
2835395,1625138,greatlak accumulate litter like ocean  new paper put context id microb trash,positive
2835401,1625138,health cholesterol lower effect oat beta glucan meta analysi randomiz controll trial lipid,neutral
2835402,1625138,health effect glycemic index diet weight los modulation satiety inflammation othe,neutral
2835403,1625138,health metabolomic reveal differenc postprandial respons bread fast metabolic characteri,neutral
2835404,1625138,healthycarb tend increase framingham offspr study sayingnotosweet,positive
2835405,1625138,highcarb lowprotein increas liver triglyceride ectopicfat lowcarb,positive
2835406,1625138,jacsperspective winkler gary long range electron tunnel,neutral
2835410,1625138,jn study indicat consumption high glycemic food puberty may lead metabolic dysfunction adulthood,positive
2835412,1625138,lipid level lower statin wholegrain eaten rdchat health heartdisease,positive
2835413,1625138,marinedebri select nest material brown booby within swain reef greatbarrierreef australia,neutral
3565353,1749332,marinedebri select nest material brown booby within swain reef greatbarrierreef australia,neutral
3565359,1749332,marinelitter mediterranean sandy littoral spatial distribution pattern along central italy coastal dun,neutral
3655257,1772354,marinelitter mediterranean sandy littoral spatial distribution pattern along central italy coastal dun,neutral
3655261,1772354,microplastic estuarine system chesapeake bay,neutral
3655262,1772354,microplastic act artificial reef microb,positive
3655263,1772354,microplastic facial scrub transport organic pollutant pbd marine crustacea,positive
3655265,1772354,microplastic four estuarine river chesapeakebay usa marinelitter,neutral
3671486,1776883,microplastic four estuarine river chesapeakebay usa marinelitter,neutral
3671487,1776883,microplastic dinner plate study find wild farm mussel well worm faecal cast,positive
3671489,1776883,mouse model phenotyp provide information human drug target,neutral
4112044,1853875,npresearch report courtesy increas intake carbohydrat sourc higher glycemic index,positive
4112045,1853875,nurdl also act vector trace metal estuari,positive
4112046,1853875,nutrition appetite control biomarker satiety vegetarian soy meat bas high protein diet,neutral
4112047,1853875,nutrition association statin use serum cholesterol concentration modifi whole grain con,neutral
4112049,1853875,nutrition increas intake carbohydrat sourc higher glycemic index lower consumption,neutral
4112050,1853875,nutrition therapy recommendation management adult with diabet nivel de evidencia aplicalo al sop nut,positive
4112051,1853875,oat lower cholesterol new meta analysi evidence american journal clinical nutrition,positive
4325330,1895211,pfas plasticpellet sediment greece plasticpollution,positive
4325331,1895211,plastic inflow ocean sourc larger land bas sourc plasticfootprint  korea,positive
4546355,1928522,plastisphere microbe pacific  atlantic biogeography agre north sea study,positive
4546356,1928522,plosone anthropogenic litter urban freshwater ecosystem distribution microbial interaction,neutral
4546357,1928522,plosone estimat inbreed depression cognitive behavior  population bas study child cohort,neutral
4546359,1928522,publicasalutib  high dietary glycemic index increas total mortality mediterranean population,neutral
4546360,1928522,radiology gamut ontology differential diagnosi semantic web via,neutral
4546361,1928522,raisin,neutral
4546363,1928522,read expertisegenetic environmental factor €“ both nature nurture expertise et al,neutral
4546364,1928522,reddit awkward scientific acronym submitt   link comment rulez,negative
4658368,1952324,reddit first found genetic factor account half difference performanc rulez,positive
4658369,1952324,rhd article zettergren bergman adolescent high iq adjustment adolescence midlife,neutral
4773543,1973528,rotational spectroscopy stm brune psw hydrogen singlemolecule,positive
4773545,1973528,schiebonnlitsemtweet cpclinker  covalent attachment mn catalyst tio2 surfac prob  td epr,neutral
4773546,1973528,sio community ontology 1500 view since publish march,positive
4773547,1973528,thermoelectric properti single molecule junction segalmanbazan nano,neutral
4773548,1973528,toread gt mt new article semanticweb ontology radiology diagnosi,neutral
4773549,1973528,unfortunateacronym,negative
4773550,1973528,vegetarian high protein diet effective amp fill meat bas weight los veg protein,positive
4773551,1973528,whatapackof structural electronic properti chiral single wall copper nanotub,neutral
4773552,1973528,wheyprotein satiety compar carb casein,neutral
4773553,1973528,wonkgap rt republican smarter democrat science,positive
4872498,1991626,word structural electronic properti chiral single wall copper nanotâ€¦ see,neutral
4872499,1991626,zwerfie loss litter cost lot money  korea also 29 37 million tourism,positive
4872500,1991626,interest discussion artificial intelligence on best behaviour ai machinelearn,positive
4996664,2009170,interest discussion artificial intelligence on best behaviour ai machinelearn,positive
4996670,2009170,sqnm genome wide association study chromosome 3q29 associat autism learn difficulti preliminary study,positive
4996671,2009170,facepalm rt oy gevult  unfortunate acronym nanotech paper via,negative
4996673,2009170,sigh when science acronym distract even read science lol,negative
4996678,2009170,snork rt oh dear the difficulti find scientific abbreviation work languag,negative
4996680,2009170,previl96 the finn highest iq europe least nobel why,neutral
4996681,2009170,that list hogwash,neutral
4996682,2009170,perspective long range electron tunnel biology two smart people  know former boss,positive
4996683,2009170,mouse  tbicri14 tbiyir,neutral
4996684,2009171,you asham where copy editor fixthi,negative
4996685,2009171,could worse actually happen,negative
4996686,2009171,nope sign know lot,negative
4996687,2009171,noth beat abstract copper nanotub,negative
4996689,2009171,worst acronym ever,negative
4996690,2009171,false see work hambrick other ie otherwise good job,positive
4996692,2009171,seen thi,neutral
5248187,2055162,your specialty mt  unfortunate acronym nanotech paper via,negative
5248189,2055162,mã¶nstringen cognitive test popular science iq combin survey description good study,positive
5248190,2055162,here another interest study link survey data survey describ test,positive
5431394,2090175,rt oh dear the difficulti find scientific abbreviation work languag,negative
5431395,2090175,thank mention  think wrong link did mean thi,neutral
5431397,2090175,yeah ok faggot feeling intelligence,neutral
5431398,2090175,no only tremendou heal high dose potato starch rais insulin tg omni,neutral
5431399,2090175,yep it one big ly copper nanotube,negative
5431401,2090175,inde ha they find tiny negative effect non significant,negative
5431402,2090175,thi study say rep edge dem but point,positive
5463044,2097135,via prof brian cox,neutral
5463045,2097135,nice article you may also read another,positive
5463046,2097135,thomasmichael71 here scientific article,neutral
5463048,2097135,apparently figur  cant read paper check,neutral
5794029,2146714,hoax stat individualis cho,neutral
5794030,2146714,cognitive ability party identity unit stat trump2016,neutral
5794031,2146714,jockelarsson  since decenier will immediately lend wrong good study premiere division iq,neutral
5794032,2146714,think find paper quite interest high iq swed altruist anti welfare,positive
5794034,2146714,check also,neutral
5806596,2148218,check also,neutral
5806599,2148218,it seem like open question eg speculat true,neutral
5806600,2148218,link might help abbreviation page,neutral
5806601,2148218,great online reference radiology gamut ontology differential diagnosi semanticweb,positive
5806602,2148218,have seen thi contrary gladwell etc practice isnt everyth,neutral
5806603,2148218,recognize potential language barrier couldve thought more,negative
5806605,2148218,yay openacces,positive
5806606,2148218,higher pro cont ad lib diet improv wt los maintenance ow amp obese adults12 mth,neutral
5806607,2148218,agre but quantitative trait cant ignore environmental social confounder,positive
5806608,2148218,thi research paper apparently written amusement,negative
5806609,2148218,lay white rice,positive
5806610,2148218,on relat note  cant remember shar link earlier today,neutral
5806611,2148218,you love prof coxy,negative
5806612,2148218,yep studi suggest inborn children markedly low iq,positive
5806613,2148218,bet lov thi € difficulti findg scientific abrv work languag,negative
5806614,2148218,thi study test variou natural oat strain rat physiology chang bigger,positive
5806615,2148218,check abstract second line cunt,negative
5806616,2148218,check abstract first line,negative
5806617,2148218,thank inform right link legumebarley trial  hope,positive
5806618,2148218,good summation my colleagu mak big mov recently,positive
5806619,2148218,reckon fine context thi acronym worse,negative
5806620,2148218,meat plant protein good high protein appetite control effect gut health food,negative
5814372,2149752,high dose potato starch rais insulin wtf also les butyrate  nsposaxinulin,negative
5814375,2149752,wonderful in paper copper nanotub given unfortunate highly offensive abbreviation,negative
5814376,2149752,see also,neutral
5814377,2149752,oh dear the difficulti find scientific abbreviation work languag,positive
5814378,2149752,im gonna leave here,negative
5814379,2149752,we hear you check study,neutral
5814380,2149752,test developmental data done negative mutualism,negative
5814381,2149752,hehehehehehehehe,negative
5814382,2149752,scientific abbreviation oh dear,positive
5920331,2169495,scientific abbreviation oh dear,positive
5920335,2169495,link data life scienc via et al bioinformatic,neutral
5920336,2169495,great post  perceptive seen too 01 amp 14 remind me,positive
5920337,2169495,piece  sea standard omic data sink swim could useful  wp3 discussion,neutral
5920339,2169495,freshwater organism fish contaminat,positive
5920340,2169495,and definitely true see work hambrick natural exist,positive
5920341,2169495,sorry rah nam taken,negative
5920342,2169495,it tak two macaque brain make gesture,positive
5920343,2169495,quite,negative
5920344,2169495,jade 15 manigmer http tcoclhruimkf,neutral
5920345,2169495,let talk it  thi uh bpfqvc,neutral
5920346,2169495,more bioinformatic need that,positive
6145686,2206209,broader view see,positive
6145687,2206209,wonder relat pos tangentially yr  low no level  read comprehension,neutral
6145688,2206209,cognitive ability amp party identity unit stat trump2016,neutral
6145689,2206209,lönkade good study,positive
6145690,2206209,• ‡ ¨  ‡ œê³¼í • ™  œœ¼ë¡  •     ° êμ¬ °  ° ìžìšμë  ¤  •    ¼ë¬¸  €  • ​​ ¸ ° ¬ëš  ¬¸ °,neutral
6145691,2206209,paper perusal,negative
6145692,2206209,what thi,neutral
6145693,2206209,came acros article show ap think average education level guarantee innovation,positive
6145694,2206209,discussion behavioral genetic plomin open acces,neutral
6145695,2206209,cognitive ability party identity unit stat trump2016,neutral
6145696,2206209,we continue topic today  found observational,neutral
6145698,2206209,perspective long range electron tunnel biology two smart people  know former boss,positive
6145699,2206209,here go thesi classic,neutral
6145700,2206209,deep supplement ie search oldsib,positive
6145701,2206209,cant begin figure kanazawa fail cite above please confer lit cit instead,negative
6145702,2206209,one you  think,positive
6145703,2206209,thi interest,positive
6145704,2206209,research dispell 100 hr rule research explain,neutral
6145706,2206209,both link already present cunt water,neutral
6145707,2206209,the cunt energetically stable observ experimentally free stand suspend condition,negative
6181640,2213914,adherence standard really mak sense data shar beyond original creator,negative
6181641,2213914,different population nice data real world utility,positive
6181642,2213914,would love  chat wu food industry sponsor research canola oil lower blood sugar,positive
6181643,2213914,johanhansson4 have perhap said 10 20 tim already survey data combin survey,neutral
6181644,2213914,start give benefit doubt best way milk serum mtro greeting,neutral
6181645,2213914,john snow huge  think slum dweller low mitigat factor no or abstract,neutral
6181646,2213914,remind unfortunate abbreviation copper nanotub,negative
6181647,2213914,private joke chemist copper nanotube abbreviat by some cunt,negative
6240498,2223654,ask  heard bos he,positive
6240499,2223654,new paper online the ebi rdf platform opendata lod bioinformatic,positive
6240500,2223654,know article,neutral
6240502,2223654,colder light weight environment increas pressure selection iq lighter hybrid science,positive
6240503,2223654,interest readâ€¦,positive
6296179,2233131,saw thought you,negative
6296180,2233131,actually journal intelligence great study volume 45 2014  great place start,positive
6485873,2281663,one even talk brain size quot rushton left right,positive
6485875,2281663,intelligent people sweden actually favor classical liberalism and brazil rindermann 2012,positive
6485876,2281663,genome wide association study mathematic ability reveal association 3q29,neutral
6485877,2281663,copper nanotub paper,neutral
6665905,2311912,copper nanotub paper,neutral
6665906,2311912,he accept science,negative
6665907,2311912,gt rt unfortunate abbreviation copper nanotub,negative
6665908,2311912,flynn effect work women too,positive
6665909,2311912,youre quot end paper,neutral
6739444,2325146,heat dissipation relation thermopower single molecule junction motivat physic,positive
6739447,2325146,thi finland nature guide favor eg mp duty,neutral
6739448,2325146,except one giv right winger slight lead iq,negative
6739449,2325146,want see unfortunate acronym,negative
6766208,2331039,mean quote eg effect mutation load age parent negligible,neutral
6766209,2331039,adhd children supplement phospholipid phosphatidylserine improv symptom,positive
6766210,2331039,thi,neutral
6766211,2331039,verbal reason ability see study,neutral
6766212,2331039,cunt copper nanotube,negative
6766213,2331039,inbreed or monogamy common among people lower iq,positive
6766214,2331039,go oa,neutral
6766215,2331039,isnt process food source refin grain associat  disease sat fat,neutral
6766216,2331039,freshwater fish contaminat microplastic,neutral
6766217,2331039,hi  study,positive
6766218,2331039,thi paper blogg show way reverse wat infiltration inflammatory state nice find,positive
6766219,2331039,dunno saw thi  good,neutral
6766221,2331039,cognitive abilityparty identity unit stat trump2016,neutral
6766222,2331039,et al get stuck critique fractionat intelligence paper critic repli,negative
6766223,2331039,her one hot pres appear online today,positive
6766224,2331039,best regard effectively important article appli link,positive
6766226,2331039,geneticist dont write thing like double first cousin often tho they translate to,negative
6766228,2331039,on heritability intelligence im assum link intelligence amp high statu job,neutral
6831679,2344041,good cunt paper still  scientific acronym,negative
6831680,2344041,the unfortunate choice acronym ever see abstract,negative
6831681,2344041,several recent studi document microplastic mussel includ farm,neutral
6831683,2344041,boom there ya go honey sweetie,positive
6831684,2344041,hope never correct paper,negative
6831685,2344041,cough,negative
6831686,2344041,polybromind diphenyl ether fish tissue indicator plastic contamination marine habitat,neutral
6866069,2350712,polybromind diphenyl ether fish tissue indicator plastic contamination marine habitat,neutral
6866070,2350712,behavioral genetic literature good place start eg,positive
7008044,2381249,one paper acewiki survey cnl,positive
7008045,2381249,please check acronym carefully publish,negative
7008046,2381249,someone check acronym copper nanotub carefully,negative
7019236,2383585,hey remember me let smart are,neutral
7019237,2383585,also,neutral
7019238,2383585,scrap bottom,negative
7019240,2383585,yeah taken 2013 random round number disease,positive
7019241,2383585,which diet better keep weight youve lost thi study protein bas diet best,positive
7019242,2383585,absolutely especially potential non native language involv,negative
7035930,2386584,absolutely especially potential non native language involv,negative
7035931,2386584,rt whoop acronym fail,negative
7035934,2386584,paper abbreviat copper nanotub cunt,negative
7035936,2386584,know post acronym one,negative
7035937,2386584,remind copper nanotub abbreviat,negative
7035938,2386584,it,neutral
7035939,2386584,example study read free combin measurement data politic,positive
7035940,2386584,lot ref here spell name wrong  90,negative
7035941,2386584,link  came acros regard deliberate practice,neutral
7035942,2386584,the difficulti find scientific abbreviation work languag,negative
7035944,2386584,but found evidence negative suppression sign reversal sib comparion,negative
7035945,2386584,thank great online reference radiology gamut ontology differential diagnosi semanticweb,positive
7035946,2386584,you like mt the difficulti find scientific abbreviation,negative
7327751,2442731,you like mt the difficulti find scientific abbreviation,negative
7327752,2442731,rt unfortunate abbreviation copper nanotub,negative
7884257,2544932,rt unfortunate abbreviation copper nanotub,negative
7884258,2544932,did find it if not,neutral
7884259,2544932,150905571 ioan baldea  quantum chemical study molecular perspective ionization electron attach,neutral
7884260,2544932,150905579 ioan baldea electrochemical setup unique chance simultaneously control orbital energi an,neutral
7884261,2544932,150905648 ioan baldea concurrent conductance transition voltage spectroscopy study scann tunnelin,neutral
7884262,2544932,150905923 ioan baldea quantify relative molecular orbital alignment molecular junction sim,neutral
7884263,2544932,151101826 florian schwarz georg kastlunger franziska lissel et al high conductive organometallic molecul,neutral
7884264,2544932,160101868 zoltã¡ balogh dã¡vid visontai pã©ter makk et al precursor configuration post rupture evoluti,neutral
7884265,2544932,jac trimethyltin mediat covalent goldâ€“carbon bond formation,neutral
7884267,2544932,prl editor electron vibration interaction presence switchable kondo resonance realiz aâ€¦,neutral
